epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1
1,16.01013039588928,11.08215187072754,0.0,0.0,0.0,0.0,0.0
2,3.9568987238407134,1.5050576496124268,0.6921875,0.99125,0.9931060606060607,0.99125,0.9914414280894545
3,1.4629920613765717,1.4555100440979003,0.9990625,0.99875,0.9988888888888888,0.99875,0.9987652129817444
4,1.4590495991706849,1.4442599821090698,0.999375,0.99875,0.9988392857142857,0.99875,0.9987625549278092
5,1.4671080219745636,1.4605583715438843,0.999375,0.99625,0.9967222222222222,0.99625,0.9963108502094198
6,1.46429567694664,1.4720557403564454,0.999375,0.9925,0.9941764705882352,0.9925,0.9928137025809438
7,1.465787159204483,1.4763163280487062,0.999375,0.995,0.9958420138888888,0.995,0.9951474727948465
8,1.4618128252029419,1.442403473854065,0.9996875,0.99875,0.9988888888888888,0.99875,0.9987652129817444
9,1.4640706360340119,1.466645312309265,0.9996875,0.99875,0.9988392857142857,0.99875,0.9987625549278092
10,1.4662938165664672,1.4838929843902589,0.9984375,0.99625,0.9967222222222222,0.99625,0.9963240008191514
11,1.4619007909297943,1.4491713285446166,0.999375,0.99375,0.9954861111111112,0.99375,0.9941299908714494
12,1.4632308828830718,1.4766085577011108,0.999375,0.99625,0.996953125,0.99625,0.9963851755629035
13,1.4638922715187073,1.46539391040802,0.99875,0.99625,0.9967222222222222,0.99625,0.9963373754083588
14,1.4618518209457398,1.493647904396057,1.0,0.995,0.9958420138888888,0.995,0.9951306036990302
15,1.4608368504047393,1.468805332183838,0.9996875,0.9975,0.9977281746031745,0.9975,0.9974902842068155
16,1.4620248651504517,1.436695761680603,0.9990625,0.995,0.995611111111111,0.995,0.9950122148189167
17,1.4631539952754975,1.4629011726379395,0.9996875,0.99625,0.996953125,0.99625,0.9964012431092448
18,1.4654342484474183,1.4660786390304565,0.99875,0.99375,0.994953125,0.99375,0.9938936470617505
19,1.4620823109149932,1.4995975828170776,0.9990625,0.9925,0.994375,0.9925,0.9928668906857869
20,1.4622993505001067,1.474579701423645,0.999375,0.99375,0.9947309027777778,0.99375,0.9939342782192361
21,1.4637504458427428,1.4389572143554688,0.9984375,0.9975,0.9978333333333333,0.9975,0.9975222216308282
22,1.4658999252319336,1.4563603687286377,1.0,0.99625,0.9967222222222222,0.99625,0.9962777758576722
23,1.4617223572731017,1.4787055683135986,0.9990625,0.9975,0.9978333333333333,0.9975,0.9975713957122412
24,1.4619721901416778,1.4808486127853393,0.999375,0.99375,0.9950653594771243,0.99375,0.9939631533333039
25,1.4631302440166474,1.4663225030899047,0.9996875,0.99625,0.9968888888888888,0.99625,0.9963231302107143
26,1.4645394682884216,1.4494993162155152,0.99875,0.9975,0.9977777777777778,0.9975,0.9974925577518456
27,1.4629755091667176,1.468295512199402,0.99875,0.9975,0.9978333333333333,0.9975,0.9975239058886319
28,1.4601754033565522,1.4698154926300049,0.9990625,0.99625,0.9967222222222222,0.99625,0.9963253025569202
29,1.4642920553684236,1.4702504253387452,0.999375,0.9975,0.9977281746031745,0.9975,0.9975096845435282
30,1.4638713419437408,1.4555547046661377,0.9990625,0.9975,0.9977281746031746,0.9975,0.9975223354888669
