epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,5.129704705874125,4.6163358600214535,0.0104166666666666,0.0480591497227356,0.0196300860948676,0.0480591497227356,0.0274961961410883,,,,,
2,4.40264690319697,4.097644619051498,0.0614583333333333,0.1035120147874306,0.0898495117533934,0.1035120147874306,0.0848603688677692,,,,,
3,3.9323779066403706,3.824646857221113,0.1322916666666666,0.133086876155268,0.1099341855730141,0.133086876155268,0.1155659201670715,,,,,
4,3.561676613489787,3.586098615431301,0.1791666666666666,0.1866913123844732,0.1665736167350413,0.1866913123844732,0.1702523959904986,,,,,
5,3.3203593293825784,3.4552800844865894,0.2361111111938953,0.2162661737523105,0.2017499918445251,0.2162661737523105,0.1979790436505294,,,,,
6,3.105726774533589,3.36074672344652,0.2975694445272286,0.2717190388170055,0.2402785926975317,0.2717190388170055,0.2493760768554121,,,,,
7,2.8564603487650557,3.236501293129489,0.3494791666666667,0.3160813308687615,0.2893003842159733,0.3160813308687615,0.2947576850638237,,,,,
8,2.679045331478119,3.1676456769601256,0.405902777860562,0.3585951940850277,0.3249386551690882,0.3585951940850277,0.3346620842768579,,,,,
9,2.478942894935608,3.085107356915853,0.4623263890544573,0.354898336414048,0.3473255356018805,0.354898336414048,0.3442448967810962,,,,,
10,2.352071422338485,3.0258543694085422,0.519618055721124,0.3918669131238447,0.3770158795637747,0.3918669131238447,0.3737215668752954,,,,,
11,2.254537353912989,3.005502276852479,0.5604166666666667,0.4343807763401109,0.4148611741081826,0.4343807763401109,0.4154806297555005,,,,,
12,2.12219082514445,3.041727156383493,0.6038194445272287,0.4269870609981516,0.4401281875321686,0.4269870609981516,0.4192033689661094,,,,,
13,2.020896428823471,3.083912021792089,0.643055555721124,0.4251386321626617,0.4341779071017129,0.4251386321626617,0.4231688907249203,,,,,
14,1.9216118772824609,2.943050616770267,0.698090277860562,0.454713493530499,0.4420719426395368,0.454713493530499,0.4390136196278007,,,,,
15,1.8829389214515688,3.006808293284418,0.7053819445272287,0.4584103512014787,0.4501326871936852,0.4584103512014787,0.4449683591913711,,,,,
16,1.7793043732643128,2.993466433667872,0.7609375,0.4972273567467652,0.4933218077002839,0.4972273567467652,0.4862984506001863,,,,,
17,1.7231519977251688,2.9558561681158664,0.793402777860562,0.4861367837338262,0.5055355661192331,0.4861367837338262,0.4786446861544084,,,,,
18,1.669957117239634,2.940803455557268,0.8098958333333334,0.5138632162661737,0.5147518637596925,0.5138632162661737,0.5033306377851772,,,,,
19,1.6432613849639892,3.003228956582145,0.8381944447755814,0.4861367837338262,0.4874197480579638,0.4861367837338262,0.478577760931631,,,,,
20,1.6114143709341684,3.0000903588786803,0.8557291666666667,0.4972273567467652,0.5155409818919658,0.4972273567467652,0.4917685525505606,,,,,
21,1.5561914245287578,2.907137986251916,0.8706597223877907,0.5231053604436229,0.5341876900369207,0.5231053604436229,0.5190369838138732,,,,,
22,1.5266377210617066,2.9730298400145583,0.8902777781089147,0.532347504621072,0.5446061084858297,0.532347504621072,0.5293220956761374,,,,,
23,1.5460405031840003,2.9748345567206136,0.8847222223877906,0.5268022181146026,0.549416425051997,0.5268022181146026,0.5267638051523597,,,,,
24,1.47482581337293,3.0316466941410423,0.9012152781089148,0.5341959334565619,0.554181302199524,0.5341959334565619,0.5313464064591693,,,,,
25,1.489680242538452,2.926463816831381,0.9001736111938954,0.5600739371534196,0.5715730489930977,0.5600739371534196,0.5541996663735564,,,,,
26,1.4625149885813395,2.981284132726532,0.921180555721124,0.5545286506469501,0.5657959295754129,0.5545286506469501,0.5518602299327529,,,,,
27,1.438916903734207,3.0113080407246646,0.9282986111938952,0.5508317929759704,0.5756701427306159,0.5508317929759704,0.5502325292308625,,,,,
28,1.4193032443523408,2.998675091209341,0.9375,0.5526802218114603,0.58286015994685,0.5526802218114603,0.5543084272693389,,,,,
29,1.4010727425416312,2.9075115687745776,0.9473958333333332,0.589648798521257,0.6158748039644509,0.589648798521257,0.5887908774982277,,,,,
30,1.3739727934201558,2.942288560038794,0.9541666666666668,0.5767097966728281,0.5880291250780679,0.5767097966728281,0.5717359761936339,,,,,
31,1.3578367829322815,2.916584222021473,0.9539930562178294,0.5914972273567468,0.6202396703453145,0.5914972273567468,0.5912957248054345,,,,,
32,1.3558125019073486,2.9596232385159422,0.9506944445272286,0.5785582255083179,0.5866996807892537,0.5785582255083179,0.5754821828346437,,,,,
33,1.3102970580259958,2.93737954705568,0.9685763895511628,0.5914972273567468,0.6074546520819205,0.5914972273567468,0.5858191656961261,,,,,
34,1.3510875046253203,2.945381940182388,0.9607638890544572,0.5859519408502772,0.5973546088323641,0.5859519408502772,0.5793154014093183,,,,,
35,1.3294873972733816,2.932861161099785,0.9618055562178294,0.5767097966728281,0.5910838549697036,0.5767097966728281,0.5720977869257898,,,,,
36,1.329927639166514,2.951925907469941,0.957986111442248,0.5711645101663586,0.5971252390250497,0.5711645101663586,0.5624540821376632,,,,,
37,1.334448226292928,2.9382307009423725,0.9491319445272288,0.600739371534196,0.6100279049307615,0.600739371534196,0.5974876418648549,,,,,
38,1.3079256892204283,3.003692852150711,0.9649305562178294,0.5637707948243993,0.6016683349159299,0.5637707948243993,0.565425265120714,,,,,
39,1.3055171430110932,2.9307468902601994,0.9607638895511628,0.5970425138632163,0.6218446348760277,0.5970425138632163,0.5985856302892885,,,,,
40,1.295736517508825,2.954030813439276,0.9652777781089148,0.5878003696857671,0.616335414387213,0.5878003696857671,0.5863248664075413,,,,,
41,1.2759933014710745,2.922842976346254,0.9708333333333332,0.5951940850277264,0.5982410784656081,0.5951940850277264,0.5873852459074362,,,,,
42,1.2697566827138265,2.8306114453264613,0.973611111442248,0.6044362292051756,0.6331724461088166,0.6044362292051756,0.602728906610452,,,,,
43,1.2688766241073608,2.9038698153222557,0.96875,0.6025878003696857,0.6155493340304998,0.6025878003696857,0.5997936598469462,,,,,
44,1.2588643630345662,2.922690186615131,0.975347222884496,0.6044362292051756,0.6303087892967746,0.6044362292051756,0.6008982717947472,,,,,
45,1.2712807695070902,2.9740302994599404,0.9607638890544572,0.589648798521257,0.6134866287168668,0.589648798521257,0.5908287777343182,,,,,
46,1.2753270586331686,2.87962922547529,0.9631944445272288,0.6118299445471349,0.6239873953173395,0.6118299445471349,0.6127813863505348,,,,,
47,1.2593734165032704,2.929287512950227,0.968923611442248,0.6044362292051756,0.6270643601736406,0.6044362292051756,0.5985304285574221,,,,,
48,1.2809797286987306,2.9707908784616017,0.9625,0.5970425138632163,0.607521555583167,0.5970425138632163,0.5911145863059908,,,,,
49,1.2891387820243836,2.959388546494151,0.9637152781089148,0.5822550831792976,0.6041206107600942,0.5822550831792976,0.5776376045931481,,,,,
50,1.2608566065629323,2.9986870072905987,0.962673611442248,0.5914972273567468,0.6045697646237888,0.5914972273567468,0.5890727529353625,2.6282251043953138,0.6605166051660517,0.7015546084005979,0.6605166051660517,0.6594824809765769
