epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1
1,1.6174231984261755,7.468799324975674,0.5906200317965024,0.6259204009880341,0.5906200317965024,0.5821276512313242
2,1.4482151074852128,11.294200631886104,0.589825119236884,0.6371583338064367,0.589825119236884,0.5911902377194664
3,1.4475619049197082,7.909456342316584,0.5763116057233705,0.6041072897844562,0.5763116057233705,0.5752785388920364
4,1.5477465401658879,7.466073757135242,0.5818759936406995,0.6569600711298743,0.5818759936406995,0.5848327149483039
5,1.453777066817112,10.727229206474862,0.6168521462639109,0.6676588349400459,0.6168521462639109,0.618972461784934
6,1.5367778497658782,12.242554132434257,0.5866454689984102,0.6472094981281276,0.5866454689984102,0.592416399891279
7,1.3537563273245687,9.17295173251193,0.5715421303656598,0.6700586079644274,0.5715421303656598,0.5892294801682716
8,1.426763735196172,10.097415327836297,0.5858505564387917,0.7150636830932788,0.5858505564387917,0.6107809166107477
9,1.519665636884384,8.861059444128804,0.5635930047694754,0.7182419086520107,0.5635930047694754,0.5977624941973805
10,1.3182850915291058,9.965963788934657,0.5961844197138315,0.7218636100562267,0.5961844197138315,0.6279568683175009
11,1.5262068480643505,10.144075668673068,0.5922098569157392,0.6966673539168566,0.5922098569157392,0.6184795652291626
12,1.3934210807818095,8.969039362830085,0.5556438791732909,0.7465957033226133,0.5556438791732909,0.6046746966088397
13,1.233247602246729,10.817634480746259,0.5914149443561209,0.7116217733044367,0.5914149443561209,0.622884056765775
14,1.7944384676391472,8.471043546741832,0.5779014308426074,0.7562597474608435,0.5779014308426074,0.6271802571923237
15,1.230027488432986,10.912863523289206,0.5802861685214626,0.7492863807425375,0.5802861685214626,0.6278673554612509
16,1.401741078284096,9.585691898540018,0.5651828298887123,0.7542498127986267,0.5651828298887123,0.621325146921306
17,1.1444865863533236,12.975037663085283,0.589825119236884,0.7343474895698574,0.589825119236884,0.6273025138431508
18,1.5163483457452802,12.565947584203771,0.5651828298887123,0.7474234685799539,0.5651828298887123,0.6171754384848993
19,1.5334076448445575,10.274865190061742,0.5659777424483307,0.7778159116105013,0.5659777424483307,0.6219206573467383
20,1.381200785260429,11.724353032195511,0.575516693163752,0.766159396749304,0.575516693163752,0.6227191392144856
21,1.882818326733577,12.181450747533898,0.5786963434022258,0.775727324767601,0.5786963434022258,0.629883918532397
22,1.7690994692831303,13.151524422468176,0.5556438791732909,0.7724207130853123,0.5556438791732909,0.608498949533548
23,1.8781260094410537,12.294500306983062,0.5635930047694754,0.7659332026703939,0.5635930047694754,0.6119378591091708
24,1.2054302487185786,17.330689707696912,0.581081081081081,0.7575613466593356,0.581081081081081,0.6309940207344005
25,1.8089763016508353,14.635677550669126,0.5850556438791733,0.7424384455846412,0.5850556438791733,0.6178450605649586
26,1.87314930354786,19.906876598139824,0.5699523052464229,0.7464051252950158,0.5699523052464229,0.6133982460596689
27,1.5641610315687295,14.404331168612918,0.5365659777424483,0.7410736946547277,0.5365659777424483,0.5883340538062767
28,1.5360474213846205,11.775711026972541,0.5381558028616852,0.7819881243619549,0.5381558028616852,0.6021034486496458
29,1.943204521332423,13.087220429237014,0.5373608903020668,0.789781120219519,0.5373608903020668,0.6004489489420157
30,1.3066147245859436,13.926996341759905,0.5333863275039745,0.7948373291420948,0.5333863275039745,0.5950519596899814
